template_id,template,spike_time,count_5min,mean_5min,z_score,rule
7,dfs.FSDataset: Deleting block <*> file <*>,2008-11-10 10:35:00,45,0.86,9.6,3-sigma
8,dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,2008-11-10 08:05:00,6,0.26,8.96,3-sigma
10,dfs.FSNamesystem: BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,2008-11-10 21:00:00,36,0.73,7.06,3-sigma
7,dfs.FSDataset: Deleting block <*> file <*>,2008-11-11 04:45:00,32,0.86,6.77,3-sigma
7,dfs.FSDataset: Deleting block <*> file <*>,2008-11-10 21:05:00,31,0.86,6.55,3-sigma
9,dfs.DataNode$DataXceiver: <*> exception while serving <*> to <*>,2008-11-10 08:25:00,4,0.26,5.89,3-sigma
2,dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,2008-11-11 09:55:00,8,1.03,5.37,3-sigma
5,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>,2008-11-10 01:45:00,4,0.38,5.17,3-sigma
10,dfs.FSNamesystem: BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,2008-11-11 04:40:00,25,0.73,4.86,3-sigma
7,dfs.FSDataset: Deleting block <*> file <*>,2008-11-11 07:55:00,23,0.86,4.81,3-sigma
7,dfs.FSDataset: Deleting block <*> file <*>,2008-11-11 09:00:00,22,0.86,4.6,3-sigma
7,dfs.FSDataset: Deleting block <*> file <*>,2008-11-11 02:30:00,22,0.86,4.6,3-sigma
9,dfs.DataNode$DataXceiver: <*> exception while serving <*> to <*>,2008-11-09 22:20:00,3,0.26,4.31,3-sigma
9,dfs.DataNode$DataXceiver: <*> exception while serving <*> to <*>,2008-11-09 22:40:00,3,0.26,4.31,3-sigma
9,dfs.DataNode$DataXceiver: <*> exception while serving <*> to <*>,2008-11-10 08:10:00,3,0.26,4.31,3-sigma
9,dfs.DataNode$DataXceiver: <*> exception while serving <*> to <*>,2008-11-10 08:15:00,3,0.26,4.31,3-sigma
8,dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,2008-11-09 21:35:00,3,0.26,4.28,3-sigma
8,dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,2008-11-10 08:30:00,3,0.26,4.28,3-sigma
8,dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,2008-11-11 01:30:00,3,0.26,4.28,3-sigma
8,dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,2008-11-10 08:20:00,3,0.26,4.28,3-sigma
10,dfs.FSNamesystem: BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,2008-11-11 02:30:00,22,0.73,4.26,3-sigma
7,dfs.FSDataset: Deleting block <*> file <*>,2008-11-10 10:30:00,20,0.86,4.16,3-sigma
10,dfs.FSNamesystem: BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,2008-11-11 08:55:00,21,0.73,4.06,3-sigma
3,dfs.DataNode$PacketResponder: Received block <*> of size <*> from <*>,2008-11-11 07:35:00,6,0.96,4.05,3-sigma
3,dfs.DataNode$PacketResponder: Received block <*> of size <*> from <*>,2008-11-09 21:05:00,6,0.96,4.05,3-sigma
1,dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating,2008-11-11 08:40:00,6,1.02,3.82,3-sigma
1,dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating,2008-11-11 10:10:00,6,1.02,3.82,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-11 07:00:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-09 20:55:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 08:55:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 09:35:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-09 21:30:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 15:00:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 11:20:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 12:15:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 08:30:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 08:50:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 01:10:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 00:20:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 19:00:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 18:30:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 15:30:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 17:35:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 13:55:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-11 09:35:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-10 23:00:00,1,0.07,3.77,3-sigma
6,dfs.DataBlockScanner: Verification succeeded for <*>,2008-11-11 04:40:00,1,0.07,3.77,3-sigma
5,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>,2008-11-11 06:30:00,3,0.38,3.74,3-sigma
5,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>,2008-11-10 01:55:00,3,0.38,3.74,3-sigma
5,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>,2008-11-11 07:45:00,3,0.38,3.74,3-sigma
5,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>,2008-11-11 08:45:00,3,0.38,3.74,3-sigma
7,dfs.FSDataset: Deleting block <*> file <*>,2008-11-10 21:00:00,18,0.86,3.73,3-sigma
10,dfs.FSNamesystem: BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,2008-11-10 22:05:00,19,0.73,3.66,3-sigma
4,dfs.DataNode$DataXceiver: Receiving block <*> src: <*> dest: <*>,2008-11-10 11:40:00,5,0.96,3.5,3-sigma
4,dfs.DataNode$DataXceiver: Receiving block <*> src: <*> dest: <*>,2008-11-11 03:00:00,5,0.96,3.5,3-sigma
4,dfs.DataNode$DataXceiver: Receiving block <*> src: <*> dest: <*>,2008-11-10 14:35:00,5,0.96,3.5,3-sigma
10,dfs.FSNamesystem: BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,2008-11-11 06:50:00,17,0.73,3.26,3-sigma
3,dfs.DataNode$PacketResponder: Received block <*> of size <*> from <*>,2008-11-10 01:35:00,5,0.96,3.25,3-sigma
3,dfs.DataNode$PacketResponder: Received block <*> of size <*> from <*>,2008-11-10 11:00:00,5,0.96,3.25,3-sigma
2,dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,2008-11-10 12:30:00,5,1.03,3.06,3-sigma
2,dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,2008-11-11 03:00:00,5,1.03,3.06,3-sigma
2,dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,2008-11-10 15:05:00,5,1.03,3.06,3-sigma
1,dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating,2008-11-10 23:05:00,5,1.02,3.05,3-sigma
1,dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating,2008-11-11 07:30:00,5,1.02,3.05,3-sigma
1,dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating,2008-11-11 02:55:00,5,1.02,3.05,3-sigma
1,dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating,2008-11-11 07:20:00,5,1.02,3.05,3-sigma
1,dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating,2008-11-10 01:40:00,5,1.02,3.05,3-sigma
